epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.01249,3.49259,9.41298,3.14938,3.3707,0.01052,0.32372,0.00829,0.00305,0,0,0,0,3.59875,5.34316,3.08147,3.22418,0.00042,0.00042,0.00042
2,8.22687,3.35438,5.88367,3.14939,3.24203,0.01042,0.32051,0.00828,0.00327,0.00562,0.17308,0.00418,0.00082,3.41311,5.05587,3.1979,3.24784,0.000851486,0.000851486,0.000851486
3,10.4327,3.28729,4.88751,3.10841,3.1649,0.01104,0.33974,0.01177,0.00444,0.00583,0.17949,0.00554,0.00113,3.40621,4.72781,3.16559,3.24134,0.00127426,0.00127426,0.00127426
4,12.6366,3.25011,4.54495,3.12497,3.03103,0.01333,0.41026,0.01229,0.00475,0.0076,0.23397,0.00592,0.00125,3.47552,4.63229,3.0865,3.33502,0.00168832,0.00168832,0.00168832
5,14.793,3.14561,4.55646,3.07307,2.99429,0.01594,0.49038,0.01399,0.00546,0.01063,0.32692,0.00743,0.0016,3.27733,4.71176,3.08965,3.27168,0.0019208,0.0019208,0.0019208
6,17.0347,3.07252,4.38843,3.02921,2.94071,0.01812,0.55769,0.0151,0.0056,0.01198,0.36859,0.00837,0.0021,3.26753,4.60565,3.07739,3.28262,0.001901,0.001901,0.001901
7,19.3635,2.97678,4.38238,2.91801,2.88482,0.01937,0.59615,0.0229,0.00692,0.01281,0.39423,0.00966,0.00227,3.22241,4.60956,3.03634,3.18966,0.0018812,0.0018812,0.0018812
8,21.4734,2.90894,4.19834,2.86978,2.81874,0.24676,0.07372,0.08387,0.02506,0.20621,0.0609,0.05096,0.00948,3.15381,4.18804,2.92822,3.14507,0.0018614,0.0018614,0.0018614
9,23.5963,2.79909,4.10669,2.79615,2.7151,0.2493,0.12179,0.11567,0.04741,0.25341,0.08974,0.08909,0.02828,2.8894,4.66954,2.93435,2.99522,0.0018416,0.0018416,0.0018416
10,25.6472,2.84817,4.10747,2.72791,2.70942,0.33286,0.14103,0.14649,0.0585,0.3443,0.10897,0.11667,0.04276,2.77273,3.97773,2.83748,2.94674,0.0018218,0.0018218,0.0018218
11,27.7699,2.75905,3.98057,2.66913,2.64337,0.21095,0.21154,0.15371,0.06305,0.21339,0.18269,0.13728,0.04993,2.70516,4.28336,2.80169,2.85826,0.001802,0.001802,0.001802
12,29.8687,2.70619,3.78526,2.63322,2.56642,0.4788,0.19872,0.22726,0.11232,0.4788,0.19872,0.21354,0.07649,2.59731,3.96651,2.69136,2.74268,0.0017822,0.0017822,0.0017822
13,31.9918,2.57961,3.63991,2.55942,2.49934,0.43717,0.25,0.26549,0.11653,0.45767,0.26282,0.27076,0.10622,2.73645,3.71767,2.74577,2.65214,0.0017624,0.0017624,0.0017624
14,34.0829,2.53604,3.69047,2.49152,2.48156,0.55214,0.32692,0.35488,0.18899,0.58042,0.30769,0.34382,0.15025,2.48219,3.83106,2.50905,2.54776,0.0017426,0.0017426,0.0017426
15,36.1678,2.5052,3.63297,2.44323,2.45021,0.53485,0.3141,0.35967,0.2038,0.52743,0.3109,0.34106,0.17127,2.38896,3.68508,2.48945,2.50243,0.0017228,0.0017228,0.0017228
16,38.2442,2.42036,3.51452,2.39152,2.38224,0.56195,0.32051,0.3754,0.20866,0.57725,0.32372,0.36095,0.17402,2.33673,3.5148,2.46466,2.49026,0.001703,0.001703,0.001703
17,40.3483,2.39562,3.50916,2.35475,2.33644,0.6507,0.29167,0.37324,0.19255,0.6507,0.29167,0.34989,0.1541,2.39243,3.6162,2.51629,2.5514,0.0016832,0.0016832,0.0016832
