epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5445,1.80461,3.91713,2.89182,1.93252,0.17354,0.26603,0.14147,0.06021,0.20446,0.19231,0.10852,0.04383,2.71557,19.3228,11.4508,3.25066,0.00042,0.00042,0.00042
2,16.4595,1.35413,2.65197,1.46958,1.53502,0.00429,0.08974,0.00216,0.00066,0,0,0,0,nan,nan,nan,nan,0.000851486,0.000851486,0.000851486
3,22.1799,1.39164,3.03967,1.45784,1.59768,0.00429,0.08974,0.00216,0.00066,0,0,0,0,nan,nan,nan,nan,0.00127426,0.00127426,0.00127426
4,28.0215,1.48632,2.75223,1.54615,1.56979,0.00429,0.08974,0.00216,0.00066,0,0,0,0,nan,nan,nan,nan,0.00168832,0.00168832,0.00168832
5,33.7833,1.67428,2.70222,1.61032,1.70474,0.0001,0.00321,6e-05,3e-05,0,0,0,0,4.46557,nan,inf,43.5035,0.0019208,0.0019208,0.0019208
6,39.5076,1.43872,2.40546,1.44008,1.57136,0.01373,0.34295,0.00961,0.00415,0.01296,0.33333,0.00871,0.00273,3.18159,52.6592,inf,4.91407,0.001901,0.001901,0.001901
7,45.2108,1.32238,2.59828,1.35815,1.53989,0.34262,0.39423,0.26062,0.13539,0.34854,0.39423,0.25565,0.11912,2.27173,6.00353,5.53544,3.31844,0.0018812,0.0018812,0.0018812
8,51.0659,1.30879,2.28256,1.21527,1.50806,0.50034,0.39423,0.38597,0.22795,0.48828,0.39423,0.37838,0.20842,2.03866,4.2919,3.75797,2.49081,0.0018614,0.0018614,0.0018614
9,56.9393,1.26917,2.21991,1.21612,1.47078,0.58974,0.54167,0.57509,0.37981,0.58777,0.53846,0.55829,0.36349,1.58311,3.25173,5.47473,1.943,0.0018416,0.0018416,0.0018416
10,62.795,1.31838,2.30217,1.2687,1.51498,0.56822,0.48928,0.48985,0.3069,0.59333,0.45828,0.46546,0.25805,1.62515,3.60789,4.40853,1.97834,0.0018218,0.0018218,0.0018218
