epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.09959,1.71752,3.88414,2.6713,1.78222,0.17631,0.22436,0.10527,0.04522,0.07596,0.08333,0.0263,0.00864,2.37904,9.18511,4.58504,2.23771,0.00062,0.00062,0.00062
2,13.1156,1.59435,3.46791,1.95413,1.64456,0.13038,0.27564,0.07205,0.03042,0.06671,0.14103,0.01818,0.00379,2.55448,22.1928,14.3673,3.30445,0.00124753,0.00124753,0.00124753
3,17.9793,1.70306,3.00091,2.02168,1.73482,0.16013,0.319,0.10386,0.04458,0.15491,0.30128,0.08948,0.0284,2.51432,12.9755,9.10444,3.26577,0.00186238,0.00186238,0.00186238
4,22.9769,1.7185,3.12946,1.85295,1.75955,0.43102,0.20833,0.17721,0.0531,0.39867,0.17949,0.14878,0.04558,2.70662,14.7122,12.6649,3.59958,0.0019406,0.0019406,0.0019406
5,27.9825,1.59019,2.74924,1.61544,1.66956,0.73529,0.32051,0.37815,0.20961,0.75,0.32692,0.3949,0.21574,2.12598,7.50322,15.243,2.71542,0.0019208,0.0019208,0.0019208
6,33.0174,1.3995,2.53248,1.40602,1.54485,0.31232,0.46474,0.22838,0.12518,0.3291,0.35897,0.17672,0.08103,1.84453,19.6447,2.88054,2.18471,0.001901,0.001901,0.001901
7,37.9568,1.3427,2.60279,1.37304,1.53909,0.50542,0.55682,0.45675,0.25557,0.48857,0.53205,0.39228,0.19853,1.56794,4.63221,4.21696,1.94441,0.0018812,0.0018812,0.0018812
8,42.8933,1.28396,2.37085,1.30031,1.47897,0.60684,0.55128,0.58627,0.35601,0.58766,0.53526,0.54064,0.31234,1.55583,3.22284,2.70493,1.88414,0.0018614,0.0018614,0.0018614
9,47.8942,1.24251,2.24134,1.17256,1.41764,0.46373,0.61538,0.46076,0.26818,0.46341,0.53526,0.41903,0.22801,1.49613,2.97403,3.02171,1.75492,0.0018416,0.0018416,0.0018416
10,52.8416,1.21077,2.20179,1.14287,1.41408,0.75848,0.58654,0.68941,0.45898,0.75433,0.58333,0.66992,0.4275,1.36558,2.7547,1.78505,1.66681,0.0018218,0.0018218,0.0018218
11,57.768,1.19091,2.12661,1.13159,1.38697,0.64175,0.6775,0.65823,0.42223,0.66034,0.68269,0.65498,0.38093,1.38753,2.49838,1.77872,1.65766,0.001802,0.001802,0.001802
12,62.6034,1.20226,2.11365,1.16666,1.38643,0.72327,0.61991,0.66732,0.41351,0.73002,0.62179,0.64319,0.36296,1.38311,2.6768,1.53889,1.69673,0.0017822,0.0017822,0.0017822
13,67.4534,1.09836,2.08285,1.06107,1.34235,0.69829,0.70513,0.68322,0.45942,0.70456,0.71084,0.69188,0.4278,1.20748,2.35634,1.53545,1.50661,0.0017624,0.0017624,0.0017624
14,72.4222,1.10458,2.01738,1.05182,1.33363,0.82837,0.67308,0.77111,0.5106,0.82381,0.66667,0.73861,0.47645,1.32357,2.4527,1.28927,1.58229,0.0017426,0.0017426,0.0017426
