epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.7541,1.37086,2.07566,1.07711,1.05988,0.83103,0.74472,0.79126,0.50605,0.82348,0.73373,0.77932,0.43219,1.24999,1.97948,0.76721,1.08545,0.000661692,0.000661692,0.000661692
2,49.6847,1.3192,1.93793,0.83994,1.04929,0.81071,0.71731,0.74466,0.46915,0.8124,0.71622,0.73913,0.41737,1.32777,2.01539,0.81602,1.13131,0.00131521,0.00131521,0.00131521
3,73.352,1.35649,1.97436,0.80697,1.06571,0.87008,0.75739,0.81089,0.49513,0.85973,0.73786,0.78868,0.43269,1.30502,1.93817,0.81893,1.08195,0.00195552,0.00195552,0.00195552
4,95.6541,1.35409,1.95489,0.80391,1.06409,0.85028,0.74337,0.80917,0.52297,0.84898,0.73485,0.79557,0.47638,1.22575,1.86437,0.73935,1.02698,0.0019406,0.0019406,0.0019406
5,119.617,1.34455,1.93887,0.79873,1.07452,0.88749,0.76531,0.83082,0.53186,0.88291,0.76355,0.83423,0.49277,1.29901,1.92946,0.70986,1.08576,0.0019208,0.0019208,0.0019208
6,143.355,1.28008,1.87415,0.73428,1.04439,0.88262,0.77076,0.82736,0.52892,0.88383,0.74648,0.81533,0.47342,1.23104,1.7478,0.72898,1.03001,0.001901,0.001901,0.001901
7,165.868,1.28109,1.84397,0.72428,1.03923,0.88193,0.74513,0.8171,0.52066,0.87708,0.74103,0.81307,0.46392,1.27006,1.85803,0.72492,1.03659,0.0018812,0.0018812,0.0018812
8,190.745,1.2862,1.8301,0.71863,1.03981,0.85926,0.75405,0.81968,0.50292,0.8617,0.74243,0.80814,0.45088,1.38568,1.98503,0.71056,1.07846,0.0018614,0.0018614,0.0018614
9,213.708,1.24982,1.81087,0.69906,1.03082,0.8872,0.76742,0.84181,0.55374,0.88007,0.74455,0.82427,0.46255,1.21327,1.81578,0.70193,1.02435,0.0018416,0.0018416,0.0018416
10,236.223,1.28423,1.84661,0.70309,1.04172,0.8857,0.77983,0.84286,0.52432,0.87828,0.76674,0.83122,0.4542,1.29787,1.77992,0.72768,1.04514,0.0018218,0.0018218,0.0018218
